threshold,f1,recall,precision
0.1,0.37067209775967414,1.0,0.2275
0.12,0.37067209775967414,1.0,0.2275
0.14,0.37067209775967414,1.0,0.2275
0.16,0.37067209775967414,1.0,0.2275
0.18,0.37067209775967414,1.0,0.2275
0.2,0.37067209775967414,1.0,0.2275
0.22,0.37067209775967414,1.0,0.2275
0.24,0.37067209775967414,1.0,0.2275
0.26,0.37067209775967414,1.0,0.2275
0.28,0.37092391304347827,1.0,0.22768974145120935
0.3,0.3731138545953361,0.9963369963369964,0.22953586497890296
0.32,0.37281009110021024,0.9743589743589743,0.23050259965337955
0.34,0.37782640408460977,0.9487179487179487,0.23588342440801457
0.36,0.38022813688212925,0.9157509157509157,0.2399232245681382
0.38,0.3868378812199037,0.8827838827838828,0.24768756423432683
0.4,0.39417309340188517,0.8424908424908425,0.25727069351230425
0.42,0.40515653775322286,0.8058608058608059,0.27060270602706027
0.44,0.40404040404040403,0.7326007326007326,0.2789400278940028
0.46,0.3991031390134529,0.652014652014652,0.2875605815831987
0.48,0.39648682559598497,0.5787545787545788,0.3015267175572519
0.5,0.4076086956521739,0.5494505494505495,0.32397408207343414
0.52,0.39655172413793105,0.5054945054945055,0.3262411347517731
0.54,0.38461538461538464,0.45787545787545786,0.33156498673740054
0.56,0.3606010016694491,0.3956043956043956,0.3312883435582822
0.58,0.3159922928709056,0.30036630036630035,0.3333333333333333
0.6,0.24489795918367346,0.1978021978021978,0.32142857142857145
0.62,0.1568627450980392,0.10256410256410256,0.3333333333333333
0.64,0.0761904761904762,0.04395604395604396,0.2857142857142857
0.66,0.02711864406779661,0.014652014652014652,0.18181818181818182
0.68,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.9,0.0,0.0,0.0
